Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Bermuda,150.4,109.1,130.1,149.9,151.9,87.2
Switzerland,138.2,56.0,97.7,145.5,132.8,114.6
Iceland,130.8,53.6,92.8,127.7,140.5,68.8
Norway,112.8,39.5,76.7,108.3,124.0,92.2
Bahamas,109.4,37.5,74.0,109.3,94.6,50.2
Denmark,93.3,37.6,65.8,74.1,113.2,98.7
Us Virgin Islands,93.1,48.8,71.3,91.3,81.8,70.7
Japan,89.5,25.6,58.0,97.3,49.6,92.5
Israel,88.6,34.1,61.7,76.1,96.1,92.3
Singapore,88.1,67.0,77.7,81.3,61.4,88.1
New Zealand,87.5,33.6,61.0,83.4,82.0,89.6
Luxembourg,87.5,53.3,70.7,78.3,96.0,99.2
Australia,86.0,40.9,63.8,85.4,81.4,107.8
Ireland,84.9,42.1,63.8,70.9,90.9,87.3
Sweden,83.3,26.7,55.4,78.3,84.7,94.8
Belgium,82.2,29.9,56.4,74.6,89.7,80.4
Finland,81.2,28.0,55.0,71.1,85.8,101.9
France,81.2,26.0,54.0,78.6,76.2,89.4
South Korea,81.1,22.0,52.0,99.9,46.9,89.7
Netherlands,79.6,34.2,57.3,64.0,89.5,94.2
Hong Kong,79.2,82.7,80.9,83.4,56.3,74.0
Austria,79.0,26.7,53.3,76.2,72.7,87.1
Italy,77.4,21.6,49.9,68.5,80.9,68.1
United States,77.2,38.8,58.3,80.8,72.7,114.7
United Kingdom,76.0,33.3,55.0,62.7,83.1,92.5
Germany,73.2,27.1,50.5,59.9,68.5,107.9
Uruguay,72.8,19.5,46.6,59.3,74.3,29.0
Canada,72.8,29.1,51.3,74.6,67.4,98.5
Puerto Rico,71.2,18.9,45.5,71.7,64.0,84.3
Malta,70.2,25.6,48.2,61.0,74.6,57.7
United Arab Emirates,70.1,65.6,67.9,60.0,65.8,106.1
Kuwait,69.5,37.0,53.5,68.5,48.5,80.0
Qatar,69.5,67.5,68.5,59.8,72.7,100.3
Taiwan,66.8,14.6,41.1,83.7,29.1,94.9
Ghana,63.8,38.3,51.2,61.0,42.8,13.3
Lebanon,63.4,29.5,46.7,50.1,60.9,47.7
Greece,61.3,10.5,36.3,51.4,59.4,49.7
Spain,60.6,20.0,40.6,52.2,58.4,78.2
Bahrain,60.5,30.2,45.6,61.6,51.2,72.7
Palestine,59.7,10.5,35.5,58.6,41.8,46.5
Jamaica,59.4,11.5,35.8,60.4,39.7,30.8
Cyprus,59.4,13.0,36.6,50.5,63.2,84.9
Costa Rica,58.9,17.5,38.5,60.7,45.3,44.7
Jordan,58.8,12.5,36.0,51.4,56.1,38.2
Slovenia,58.3,14.7,36.8,50.6,46.4,68.7
Trinidad And Tobago,57.8,19.7,39.0,58.5,52.4,48.9
Panama,57.8,29.0,43.6,60.4,48.9,33.5
Argentina,56.8,14.4,35.9,48.9,54.8,50.8
Estonia,54.9,14.4,34.9,43.2,51.3,62.7
Portugal,54.6,18.3,36.8,46.0,44.9,55.8
Croatia,54.0,11.0,32.8,46.7,41.7,53.7
Oman,53.4,22.0,37.9,52.3,48.2,90.6
Mauritius,53.4,12.3,33.2,50.3,37.8,42.0
Chile,53.3,15.3,34.6,47.9,46.8,49.6
Brazil,53.1,14.3,34.0,43.5,41.6,36.5
Zimbabwe,52.6,13.1,33.2,47.7,38.2,23.5
Dominican Republic,52.0,11.7,32.2,47.4,43.7,24.1
Lithuania,51.9,14.3,33.4,42.3,44.3,48.5
Latvia,51.8,12.7,32.5,42.3,43.4,46.7
Ethiopia,50.3,22.3,36.6,43.7,22.1,14.5
Saudi Arabia,50.2,14.3,32.5,43.3,31.5,119.4
Slovakia,49.4,17.4,33.6,44.7,34.8,57.9
El Salvador,49.0,10.7,30.1,47.2,36.8,26.6
Guatemala,48.9,14.6,32.0,48.9,35.6,39.7
Cambodia,48.8,14.3,31.8,54.3,23.2,14.4
Iraq,48.7,14.4,31.8,42.5,45.0,45.0
Czech Republic,47.7,16.7,32.4,42.9,33.7,65.8
Honduras,47.6,11.6,29.9,41.1,35.1,29.6
Tanzania,47.3,19.5,33.6,37.5,29.8,20.6
Thailand,47.2,15.3,31.5,54.8,23.2,28.6
Hungary,47.2,13.5,30.6,38.4,35.6,41.5
Ecuador,46.8,11.5,29.4,47.6,31.9,34.0
South Africa,46.5,17.0,31.9,41.2,42.4,85.9
China,45.8,17.1,31.6,51.1,29.8,62.2
Russia,44.5,17.2,31.1,36.9,45.5,45.2
Turkey,44.4,11.3,28.1,39.8,31.9,47.8
Montenegro,43.7,10.4,27.3,36.5,38.1,42.0
Poland,43.5,15.0,29.5,35.5,35.3,64.8
Malaysia,43.3,11.1,27.4,48.3,22.0,64.4
Indonesia,42.3,8.7,25.8,48.4,20.2,32.6
Peru,42.1,15.4,28.9,39.9,27.3,32.1
Vietnam,41.3,14.8,28.3,43.4,19.7,25.8
Bulgaria,40.2,9.2,25.0,35.4,32.3,46.6
Kenya,40.2,9.7,25.2,39.6,31.4,24.7
Romania,38.7,9.9,24.5,32.9,32.4,57.4
Bosnia And Herzegovina,38.7,6.6,22.9,34.4,26.2,45.5
Bolivia,38.4,10.8,24.8,31.9,29.4,40.8
Iran,38.2,17.2,27.8,35.8,29.8,39.3
Morocco,38.1,10.9,24.7,35.5,25.3,37.6
Serbia,37.4,7.5,22.7,29.3,29.6,36.1
Albania,36.8,7.0,22.1,30.9,28.7,30.2
Philippines,36.5,7.7,22.3,37.2,21.5,31.9
Mexico,36.3,9.4,23.1,35.6,31.6,51.4
Kazakhstan,35.4,11.4,23.6,29.4,36.9,37.2
Armenia,35.3,9.1,22.4,29.6,32.3,30.3
Belarus,35.2,11.2,23.4,29.6,37.5,33.1
Venezuela,35.1,7.6,21.6,38.1,30.0,3.3
Bangladesh,35.1,5.4,20.5,34.2,23.5,35.6
Uganda,35.1,7.1,21.3,31.8,23.6,17.4
Sri Lanka,34.9,8.8,22.0,39.6,20.0,25.5
Algeria,34.9,6.2,20.8,37.4,19.3,30.9
Colombia,34.3,9.6,22.2,30.1,24.7,33.0
Nigeria,34.3,16.8,25.7,38.1,20.5,18.3
North Macedonia,33.8,6.3,20.3,28.8,22.6,36.6
Moldova,32.9,8.5,20.9,27.0,23.1,25.5
Georgia,32.7,10.1,21.6,27.9,32.0,27.5
Nepal,32.6,3.7,18.4,30.4,17.8,23.6
Azerbaijan,31.9,10.7,21.5,28.8,30.8,25.1
Syria,29.7,5.4,17.8,29.2,22.5,11.4
Kosovo (Disputed Territory),29.7,8.1,19.1,27.0,21.2,49.4
Ukraine,29.2,10.1,19.8,23.0,20.8,25.2
Tunisia,28.3,5.7,17.1,27.8,17.1,34.2
Pakistan,27.6,5.2,16.6,26.8,21.0,35.9
India,27.5,6.7,17.2,29.1,18.0,67.1
Egypt,25.4,4.9,15.3,23.3,20.3,23.2
