Rank,Crime Index,Safety Index
Venezuela,84.7,15.3
South Africa,78.1,21.9
Puerto Rico,73.1,26.9
Malaysia,70.9,29.1
United States,64.9,35.1
Algeria,64.8,35.2
Mexico,62.5,37.5
Peru,60.9,39.1
Lebanon,59.9,40.1
Bangladesh,59.7,40.3
Brazil,59.3,40.7
Pakistan,58.7,41.3
Italy,56.7,43.3
Chile,56.4,43.6
Ecuador,55.4,44.6
Ukraine,55.4,44.6
Philippines,53.1,46.9
Greece,52.0,48.0
Iran,51.9,48.1
Russia,50.6,49.4
Argentina,48.4,51.6
Colombia,47.2,52.8
Slovakia,46.9,53.1
New Zealand,46.8,53.2
Ireland,46.1,53.9
United Kingdom,46.0,54.0
India,45.6,54.4
Denmark,45.3,54.7
France,44.8,55.2
China,44.5,55.5
Egypt,44.3,55.7
Austria,44.1,55.9
Uruguay,42.8,57.2
Bulgaria,41.4,58.6
Israel,40.8,59.2
Portugal,40.6,59.4
Belgium,40.6,59.4
Australia,40.6,59.4
Bosnia And Herzegovina,40.3,59.7
Canada,39.8,60.2
Thailand,39.7,60.3
Lithuania,39.1,60.9
Poland,38.7,61.3
Azerbaijan,38.5,61.5
Jamaica,36.7,63.3
Czech Republic,36.6,63.4
Sweden,36.2,63.8
United Arab Emirates,35.9,64.1
Slovenia,35.7,64.3
Morocco,33.6,66.4
Iceland,33.3,66.7
Spain,33.0,67.0
Saudi Arabia,32.5,67.5
Panama,32.4,67.6
Croatia,32.4,67.6
Georgia,31.3,68.7
Hungary,30.5,69.5
Cyprus,30.3,69.7
Albania,30.1,69.9
Romania,29.6,70.4
Serbia,28.7,71.3
Netherlands,28.4,71.6
Turkey,26.4,73.6
Switzerland,25.8,74.2
Estonia,25.0,75.0
Indonesia,23.9,76.1
Germany,21.2,78.8
Malta,20.3,79.7
Singapore,20.2,79.8
Jordan,19.1,80.9
Norway,19.1,80.9
Finland,17.6,82.4
Hong Kong,14.5,85.5
Taiwan,9.5,90.5
Japan,5.7,94.3
