Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Ghana,101.2,10.2,0.3,9.8,341.6,2767.6,0.0
Syria,66.1,3.1,3.3,32.0,30.6,781.5,0.1
Hong Kong,45.7,1.6,1.7,62.4,59.7,289.3,0.3
Cambodia,39.8,4.7,5.0,21.5,19.9,486.0,0.2
Sri Lanka,38.6,2.3,2.7,42.7,37.3,565.4,0.2
Jamaica,35.2,3.0,1.4,33.3,69.0,363.6,0.3
Iran,34.9,3.8,4.6,26.2,21.5,743.7,0.1
Philippines,30.2,3.2,3.2,30.9,31.3,295.1,0.3
China,27.9,1.5,1.7,65.6,57.6,223.2,0.4
Kenya,27.0,2.0,5.0,49.9,20.2,407.3,0.2
Argentina,26.4,2.2,2.1,45.6,47.8,1105.3,0.1
South Korea,26.1,1.0,1.2,104.9,85.4,178.7,0.6
Nepal,22.2,2.2,3.0,44.6,33.4,283.9,0.4
Taiwan,21.8,1.6,1.6,64.4,63.8,129.6,0.8
Indonesia,21.5,4.0,4.7,24.9,21.3,249.4,0.4
Thailand,21.2,3.2,3.6,31.5,27.5,172.7,0.6
Vietnam,19.8,4.2,5.4,23.8,18.6,218.2,0.5
Peru,18.8,4.6,4.2,21.7,23.9,211.3,0.5
Uruguay,18.5,3.7,3.6,27.0,27.8,188.4,0.5
Armenia,18.1,5.0,5.0,20.1,20.1,232.0,0.4
Chile,18.1,3.8,3.9,26.6,25.8,131.4,0.8
Algeria,17.8,3.1,3.7,32.3,27.0,156.7,0.6
Singapore,17.6,2.6,3.1,38.3,32.0,108.3,0.9
Azerbaijan,17.6,4.5,5.1,22.3,19.7,188.8,0.5
Colombia,17.5,4.7,4.3,21.1,23.3,220.9,0.5
Uzbekistan,17.4,6.1,7.7,16.4,13.0,355.8,0.3
Belarus,16.2,4.4,4.2,22.7,23.7,272.5,0.4
Brazil,16.0,4.2,4.2,23.9,23.6,176.2,0.6
Serbia,15.9,3.1,3.4,31.8,29.8,115.4,0.9
Russia,15.3,4.7,4.6,21.4,21.9,174.8,0.6
Bangladesh,14.9,3.0,3.1,33.3,32.0,166.1,0.6
Paraguay,14.7,5.8,6.6,17.3,15.2,211.2,0.5
Guatemala,14.7,7.0,7.2,14.2,13.9,147.5,0.7
El Salvador,14.7,7.2,7.1,13.8,14.0,154.2,0.6
Venezuela,14.5,8.3,8.5,12.1,11.7,349.6,0.3
Montenegro,14.4,4.1,4.3,24.5,23.4,122.8,0.8
Georgia,14.4,5.4,6.5,18.4,15.3,182.5,0.5
Poland,14.1,4.2,4.9,23.9,20.6,110.8,0.9
Malta,14.1,4.9,5.8,20.6,17.2,104.8,1.0
Nigeria,14.0,36.6,32.1,2.7,3.1,274.2,0.4
Albania,13.7,4.1,5.2,24.6,19.3,109.2,0.9
Czech Republic,13.7,3.2,3.4,31.7,29.2,86.8,1.2
Pakistan,13.6,4.1,4.4,24.4,22.6,196.3,0.5
Croatia,13.6,3.2,3.5,30.9,28.8,98.7,1.0
Afghanistan,13.6,3.2,3.7,31.2,27.1,177.7,0.6
Ecuador,13.3,5.6,5.7,17.7,17.7,164.0,0.6
Dominican Republic,13.0,6.9,6.8,14.5,14.7,177.4,0.6
Luxembourg,13.0,3.1,3.4,32.0,29.2,76.3,1.3
Portugal,12.9,4.7,5.6,21.3,17.8,80.1,1.2
Morocco,12.9,4.8,4.9,20.8,20.3,104.5,1.0
Israel,12.9,2.9,2.9,34.7,35.0,90.1,1.1
Egypt,12.7,5.8,6.4,17.3,15.5,181.5,0.6
Kuwait,12.5,3.3,5.1,30.4,19.7,107.4,0.9
North Macedonia,12.2,4.1,3.8,24.5,26.3,100.2,1.0
Lebanon,12.1,5.8,6.1,17.3,16.3,115.6,0.9
Moldova,11.8,5.5,5.8,18.0,17.2,127.1,0.8
Slovenia,11.7,3.4,3.5,29.3,28.2,76.8,1.3
Japan,11.6,2.3,2.6,44.1,38.5,66.6,1.5
Tunisia,11.6,4.9,4.8,20.4,20.7,127.5,0.8
Panama,11.4,7.6,8.2,13.1,12.2,94.5,1.1
Ukraine,11.2,6.7,7.2,14.9,14.0,207.9,0.5
Slovakia,11.1,4.5,4.9,22.1,20.4,63.9,1.6
Bosnia And Herzegovina,11.0,3.3,3.2,30.2,31.0,80.4,1.2
Austria,10.9,3.1,3.4,32.5,29.5,66.2,1.5
Mexico,10.9,6.9,6.8,14.4,14.6,136.1,0.7
India,10.8,3.1,3.7,31.9,26.8,115.5,0.9
Mongolia,10.8,7.9,6.7,12.6,15.0,118.5,0.8
Kosovo (Disputed Territory),10.7,4.9,4.9,20.4,20.3,81.1,1.2
Hungary,10.6,3.8,4.2,26.4,23.9,83.5,1.2
Lithuania,10.5,3.7,4.1,27.3,24.3,65.8,1.5
Romania,10.3,4.6,4.6,21.9,21.9,86.5,1.2
Costa Rica,10.0,6.3,5.7,15.8,17.6,111.4,0.9
France,10.0,2.7,3.1,36.7,32.7,58.1,1.7
Honduras,10.0,6.7,5.1,14.9,19.7,127.6,0.8
Malaysia,10.0,3.6,3.8,27.9,26.0,74.4,1.3
Greece,9.6,4.6,4.5,21.5,22.2,73.1,1.4
Kazakhstan,9.5,7.0,6.8,14.3,14.7,143.5,0.7
United Kingdom,9.5,3.6,4.2,27.6,24.1,63.7,1.6
Estonia,9.4,3.6,3.9,27.6,25.7,59.9,1.7
Spain,9.2,4.5,5.1,22.2,19.5,57.6,1.7
Bolivia,9.0,7.1,6.7,14.2,15.0,92.4,1.1
Germany,8.9,3.1,3.4,31.8,29.6,53.1,1.9
Iraq,8.8,5.9,7.7,17.0,12.9,96.6,1.0
Italy,8.8,4.0,4.9,24.9,20.3,52.5,1.9
Turkey,8.7,6.0,5.8,16.7,17.3,151.8,0.7
Finland,8.6,3.0,4.0,33.3,25.0,49.2,2.0
Bulgaria,8.3,5.0,5.5,20.2,18.3,58.2,1.7
Latvia,8.3,4.6,4.9,21.6,20.4,53.4,1.9
Switzerland,8.2,3.0,3.3,33.7,30.0,47.2,2.1
Norway,8.1,3.7,4.1,27.2,24.4,52.6,1.9
Trinidad And Tobago,8.0,7.9,6.3,12.7,15.9,68.6,1.5
Jordan,7.9,6.0,6.7,16.7,14.9,77.9,1.3
Bahrain,7.9,7.1,7.2,14.1,13.8,71.4,1.4
New Zealand,7.8,4.6,5.0,21.6,19.8,56.8,1.8
Sweden,7.7,3.3,3.8,30.0,26.3,49.5,2.0
Netherlands,7.3,5.2,5.3,19.3,19.0,44.5,2.2
Australia,7.3,4.3,4.4,23.5,22.8,51.5,1.9
Canada,7.2,4.9,5.4,20.5,18.4,49.6,2.0
Belgium,7.0,4.6,4.9,21.6,20.5,41.4,2.4
Denmark,7.0,3.9,4.1,26.0,24.6,41.2,2.4
Ireland,6.7,6.3,7.5,15.8,13.4,46.4,2.2
Cyprus,6.6,7.0,7.6,14.3,13.2,42.1,2.4
Qatar,6.1,7.5,7.0,13.3,14.2,46.8,2.1
Iceland,6.1,6.5,7.4,15.3,13.6,49.8,2.0
Oman,5.5,5.9,5.2,17.1,19.3,42.0,2.4
Palestine,4.7,7.7,8.0,13.0,12.6,45.5,2.2
United Arab Emirates,4.5,9.3,8.7,10.8,11.5,32.9,3.0
Puerto Rico,4.2,7.8,7.7,12.9,13.0,32.3,3.1
United States,4.0,7.7,10.5,12.9,9.5,29.4,3.4
South Africa,3.4,9.5,11.4,10.5,8.7,39.2,2.6
Saudi Arabia,2.7,8.0,8.0,12.5,12.5,19.6,5.1
