Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Syria,99.5,2.8,4.2,35.9,24.1,1306.6,0.1
Hong Kong (China),42.1,1.7,1.7,59.0,58.2,275.9,0.4
Cameroon,41.7,7.6,9.3,13.1,10.7,747.9,0.1
Nepal,36.0,1.5,2.0,68.3,49.1,497.8,0.2
Sri Lanka,35.3,3.8,2.3,26.0,44.3,602.9,0.2
China,33.0,1.6,1.6,63.1,61.7,259.4,0.4
Philippines,31.0,3.1,3.2,32.5,31.4,292.1,0.3
Cambodia,29.2,5.1,4.3,19.5,23.1,337.9,0.3
Ethiopia,28.9,10.1,6.5,9.9,15.4,471.8,0.2
Thailand,25.8,2.8,3.2,35.3,31.1,210.7,0.5
Lebanon,24.6,5.2,5.9,19.3,17.1,277.4,0.4
Vietnam,24.1,3.2,3.6,31.2,27.8,282.5,0.4
Argentina,22.3,2.7,2.6,37.2,37.9,1135.2,0.1
Iran,22.2,5.6,6.5,17.7,15.4,478.9,0.2
Taiwan,22.1,1.3,1.6,75.8,61.3,130.9,0.8
South Korea,20.3,1.2,1.2,85.9,86.6,146.8,0.7
Indonesia,19.7,4.5,5.2,22.1,19.2,220.6,0.5
Peru,18.9,4.9,4.5,20.5,22.1,217.7,0.5
Colombia,18.1,4.8,4.7,20.9,21.2,240.5,0.4
Mongolia,18.0,6.4,7.2,15.7,13.9,161.2,0.6
Serbia,17.6,4.4,4.6,22.9,21.5,153.6,0.7
Venezuela,17.1,8.0,6.6,12.6,15.2,411.9,0.2
Brazil,16.8,4.2,4.2,23.7,23.9,191.6,0.5
Russia,16.7,3.5,3.7,28.9,26.9,199.4,0.5
Chile,16.2,4.5,4.2,22.1,23.8,130.4,0.8
Algeria,16.0,3.3,3.6,30.1,27.9,143.9,0.7
Dominican Republic,15.9,7.4,5.5,13.6,18.1,213.4,0.5
Singapore,15.7,4.1,4.4,24.6,22.6,109.0,0.9
Armenia,15.4,8.1,11.9,12.3,8.4,213.7,0.5
Kosovo (Disputed Territory),15.1,4.0,5.3,24.9,18.8,123.3,0.8
Albania,14.8,4.5,5.4,22.0,18.4,118.0,0.8
Azerbaijan,14.7,5.1,5.8,19.6,17.1,161.7,0.6
Israel,14.7,2.8,2.8,35.7,35.7,105.5,0.9
Hungary,14.6,3.1,3.3,31.9,30.6,143.5,0.7
Morocco,14.5,4.6,4.9,21.9,20.3,114.4,0.9
Ukraine,14.2,5.5,5.6,18.1,17.9,234.9,0.4
Czech Republic,14.0,3.1,3.1,32.7,32.0,116.7,0.9
Pakistan,14.0,4.7,5.1,21.1,19.8,217.5,0.5
Turkey,13.9,5.4,6.2,18.6,16.1,307.9,0.3
Kyrgyzstan,13.7,9.4,8.9,10.6,11.3,242.6,0.4
North Macedonia,13.7,3.3,3.2,30.2,30.9,106.8,0.9
Belarus,13.6,4.4,4.3,23.0,23.0,269.2,0.4
Kenya,13.6,4.3,5.3,23.1,18.9,184.9,0.5
Croatia,13.4,3.1,3.1,31.7,32.0,96.1,1.0
Georgia,13.2,9.7,11.9,10.3,8.4,172.0,0.6
Uzbekistan,13.1,8.8,11.4,11.4,8.8,280.9,0.4
Slovakia,13.0,3.9,4.0,25.9,25.2,86.4,1.2
Montenegro,13.0,5.8,5.5,17.1,18.2,106.3,0.9
Bolivia,12.9,5.8,5.7,17.3,17.4,122.8,0.8
Bangladesh,12.8,2.9,3.4,34.2,29.1,143.0,0.7
Lithuania,12.6,3.9,4.1,25.8,24.7,87.2,1.1
Guatemala,12.5,7.5,7.6,13.3,13.1,126.8,0.8
Egypt,12.5,7.0,6.8,14.4,14.7,175.8,0.6
Slovenia,12.1,3.7,3.8,27.2,26.1,78.3,1.3
Portugal,11.9,5.6,6.4,17.7,15.7,84.6,1.2
Tunisia,11.8,4.9,5.1,20.4,19.4,140.6,0.7
Poland,11.8,4.3,4.9,23.4,20.3,108.7,0.9
Bosnia And Herzegovina,11.7,2.7,2.8,36.7,35.5,81.5,1.2
Greece,11.7,4.2,4.3,23.8,23.3,87.8,1.1
Panama,11.7,8.4,7.8,11.9,12.8,100.8,1.0
Malta,11.3,5.6,5.7,17.9,17.4,87.4,1.1
Ecuador,11.3,6.0,5.0,16.5,19.9,129.4,0.8
Romania,11.1,4.0,4.2,24.7,23.6,101.7,1.0
Moldova,11.1,5.5,5.9,18.2,17.1,141.9,0.7
Uruguay,11.1,4.6,5.4,21.6,18.4,108.9,0.9
Switzerland,11.0,2.5,2.8,39.8,35.3,68.4,1.5
Kazakhstan,10.9,9.0,9.3,11.2,10.7,174.6,0.6
France,10.8,2.9,3.1,34.0,32.0,70.0,1.4
Austria,10.6,2.9,3.3,35.1,30.4,69.2,1.4
Germany,10.2,2.8,2.9,35.6,34.3,70.7,1.4
Estonia,10.2,3.7,3.9,27.2,25.5,66.5,1.5
Luxembourg,10.1,3.0,3.3,32.8,29.9,60.7,1.6
New Zealand,9.9,3.8,3.9,26.6,25.9,84.4,1.2
Australia,9.9,4.3,4.2,23.4,23.7,82.4,1.2
India,9.9,3.0,3.8,33.8,26.6,103.3,1.0
Japan,9.8,2.7,3.0,37.7,33.3,57.7,1.7
Canada,9.6,3.8,4.6,26.1,21.6,85.8,1.2
Kuwait,9.3,3.2,4.9,31.4,20.4,74.2,1.3
Italy,9.2,4.1,4.9,24.6,20.2,64.0,1.6
Costa Rica,9.2,6.8,7.1,14.7,14.1,102.8,1.0
Sweden,9.1,3.0,3.7,33.7,26.9,64.2,1.6
Malaysia,8.9,4.3,5.1,23.0,19.8,63.8,1.6
Bulgaria,8.7,4.7,5.1,21.2,19.7,63.2,1.6
Latvia,8.6,4.2,4.5,23.7,22.1,57.8,1.7
Mexico,8.6,7.9,7.7,12.7,12.9,107.7,0.9
Honduras,8.5,9.2,6.6,10.9,15.2,111.5,0.9
United Kingdom,8.4,4.5,4.5,22.4,22.2,65.7,1.5
Norway,8.2,3.5,3.9,28.8,25.6,57.8,1.7
Finland,8.1,3.2,4.1,31.5,24.4,51.1,2.0
Iraq,7.9,7.0,8.3,14.4,12.1,87.2,1.1
Jordan,7.4,5.9,6.8,16.8,14.6,71.8,1.4
Ireland,7.3,6.7,7.5,15.0,13.4,53.7,1.9
Cyprus,7.2,8.7,9.6,11.5,10.4,48.4,2.1
Spain,7.1,5.0,6.1,20.0,16.5,47.4,2.1
Netherlands,6.7,4.8,5.3,20.7,18.9,46.2,2.2
Denmark,6.7,4.4,4.9,22.9,20.3,46.2,2.2
Belgium,6.4,4.8,4.9,20.9,20.5,42.9,2.3
Palestine,6.3,7.2,7.6,13.8,13.1,61.7,1.6
Iceland,5.9,5.6,6.1,17.8,16.3,51.5,1.9
Qatar,5.1,7.9,7.0,12.7,14.2,36.8,2.7
Puerto Rico,4.9,11.2,9.0,8.9,11.2,38.5,2.6
United States,4.2,7.9,9.1,12.7,11.0,38.3,2.6
United Arab Emirates,3.3,9.7,9.2,10.3,10.8,23.1,4.3
South Africa,3.3,10.2,11.3,9.8,8.9,36.8,2.7
Oman,3.2,6.9,7.6,14.5,13.1,24.8,4.0
Saudi Arabia,2.9,6.9,7.4,14.6,13.6,21.8,4.6
